districtname	schoolname	studentgroup	currstatus_ela	currstatus_math
district_8	school_78	ELO	-99.7	-101.8
district_8	school_78	EO	-64.4	-74.2
district_8	school_78	FI	NA	NA
district_8	school_78	FOS	NA	NA
district_8	school_78	HI	-80.7	-88.9
district_8	school_78	HOM	NA	NA
district_8	school_78	MR	NA	NA
district_8	school_78	PI	NA	NA
district_8	school_78	RFP	-24.1	-47.7
district_8	school_78	SED	-91.3	-93.9
district_8	school_78	SWD	-140.9	-151.2
district_8	school_78	WH	49	-0.1
district_8	school_70	AA	NA	NA
district_8	school_70	ALL	-50.6	-52.9
district_8	school_70	AS	-0.7	14.1
district_8	school_70	EL	-58.2	-60.2
district_8	school_70	ELO	-97.3	-95.8
district_8	school_70	EO	-41.2	-47.7
district_8	school_70	FI	-10.7	-21.3
district_8	school_70	HI	-88.8	-91.2
district_8	school_70	HOM	-108.8	-113.3
district_8	school_70	MR	NA	NA
district_8	school_70	PI	NA	NA
district_8	school_70	RFP	39	28.4
district_8	school_70	SED	-63.4	-64.3
district_8	school_70	SWD	-141.5	-148.8
district_8	school_70	WH	NA	NA
district_8	school_34	AA	NA	NA
district_8	school_34	ALL	-47.8	-61.2
district_8	school_34	EL	-65.2	-76.4
district_8	school_34	ELO	-81.4	-87
district_8	school_34	EO	37.4	12.5
district_8	school_34	FI	NA	NA
district_8	school_34	FOS	NA	NA
district_8	school_34	HI	-59.5	-72.5
district_8	school_34	HOM	-80.1	-101.6
district_8	school_34	MR	NA	NA
district_8	school_34	RFP	34.3	-13.9
district_8	school_34	SED	-59.2	-75.3
district_8	school_34	SWD	-110.4	-112.4
district_8	school_34	WH	NA	NA
district_8	school_26	AA	-64.8	-68.9
district_8	school_26	ALL	50.1	25.5
district_8	school_26	AS	68	50.3
district_8	school_26	EL	0.5	2.8
district_8	school_26	ELO	-36.2	-29.9
district_8	school_26	EO	51.1	27.1
district_8	school_26	FI	NA	NA
district_8	school_26	FOS	NA	NA
district_8	school_26	HI	-13.6	-50.7
district_8	school_26	HOM	NA	NA
district_8	school_26	MR	77.7	39.6
district_8	school_26	PI	NA	NA
district_8	school_26	RFP	NA	NA
district_8	school_26	SED	-30	-49.2
district_8	school_26	SWD	-17.6	-37.4
district_8	school_26	WH	80.9	56.4
district_8	school_74	AA	NA	NA
district_8	school_74	ALL	51.7	33.9
district_8	school_74	AS	60.6	48.4
district_8	school_74	EL	6.2	-10.1
district_8	school_74	ELO	NA	NA
district_8	school_74	EO	55.3	38.5
district_8	school_74	FI	NA	NA
district_8	school_74	FOS	NA	NA
district_8	school_74	HI	-15.2	-32.8
district_8	school_74	HOM	NA	NA
district_8	school_74	MR	51.5	10.5
district_8	school_74	RFP	NA	NA
district_8	school_74	SED	-29.4	-36.3
district_8	school_74	SWD	-70.4	-83.3
district_8	school_74	WH	74.3	56.2
district_8	school_71	AA	NA	NA
district_8	school_71	ALL	-14.7	3.6
district_8	school_71	AS	31.4	54.5
district_8	school_71	EL	-31.2	-6.3
district_8	school_71	ELO	-61.1	-31.3
district_8	school_71	EO	34.1	34.4
district_8	school_71	FI	NA	NA
district_8	school_71	FOS	NA	NA
district_8	school_71	HI	-57.2	-39.9
district_8	school_71	HOM	NA	NA
district_8	school_71	MR	NA	NA
district_8	school_71	PI	NA	NA
district_8	school_71	RFP	65.4	74.4
district_8	school_71	SED	-30.9	-8.3
district_8	school_71	SWD	-124.2	-96.3
district_8	school_71	WH	55.5	48.7
district_8	school_20	AA	-132.6	-165.8
district_8	school_20	AI	NA	NA
district_8	school_20	ALL	-79.3	-111.6
district_8	school_20	AS	NA	NA
district_8	school_20	EL	-87.2	-114.9
district_8	school_20	ELO	-103.8	-119.1
district_8	school_20	EO	-73.9	-111.2
district_8	school_20	FI	-40	-71
district_8	school_20	FOS	NA	NA
district_8	school_20	HI	-79.3	-113.7
district_8	school_20	HOM	-108.8	-168.4
district_8	school_20	MR	NA	NA
district_8	school_20	PI	NA	NA
district_8	school_20	RFP	-21.3	-98.1
district_8	school_20	SED	-93.3	-126.1
district_8	school_20	SWD	-156	-180.9
district_8	school_20	WH	NA	NA
district_8	school_79	AA	-106.6	-109
district_8	school_79	ALL	-19.6	-15.9
district_8	school_79	AS	7.9	32.1
district_8	school_79	EL	-51	-29.9
district_8	school_79	ELO	-76.8	-45.8
district_8	school_79	EO	-4.6	-14
district_8	school_79	FI	NA	NA
district_8	school_79	HI	-48.3	-44.7
district_8	school_79	HOM	NA	NA
district_8	school_79	MR	36.1	28.2
district_8	school_79	PI	NA	NA
district_8	school_79	RFP	62.5	39.8
district_8	school_79	SED	-74.8	-69.4
district_8	school_79	SWD	-130.9	-115.2
district_8	school_79	WH	46.8	26.9
district_8	school_45	AA	-63.8	-83.7
district_8	school_45	AI	NA	NA
